temperature,humidity,wind_speed,cloudiness,weather
14.3,61.0,25.4,83.2,cloudy
6.6,97.1,17.8,84.3,rainy
33.4,28.6,11.2,14.4,sunny
32.3,18.0,1.4,3.8,sunny
9.6,91.4,43.6,90.3,rainy
22.6,54.8,29.9,61.9,cloudy
20.9,61.3,16.2,66.5,cloudy
37.3,29.7,18.0,14.8,sunny
-5.5,62.0,9.0,72.9,snowy
-14.2,78.7,22.1,91.2,snowy
26.9,41.6,1.7,16.2,sunny
-1.7,66.6,31.4,96.3,snowy
-4.3,53.2,39.7,77.3,snowy
15.5,95.4,47.4,92.0,rainy
20.0,55.9,21.3,55.7,cloudy
8.8,49.7,8.2,88.4,cloudy
18.9,79.1,29.8,80.6,rainy
26.7,30.5,2.8,7.2,sunny
8.0,92.0,37.3,83.0,rainy
-13.5,64.7,30.3,81.9,snowy
5.5,92.0,17.4,87.8,rainy
15.7,79.3,49.8,89.9,rainy
12.5,77.0,29.3,98.4,rainy
-11.5,67.5,30.6,75.3,snowy
23.0,39.0,13.8,3.6,sunny
-10.4,69.5,8.1,91.2,snowy
20.1,63.6,24.6,85.1,cloudy
25.0,93.0,43.8,94.9,rainy
15.2,89.5,46.7,91.1,rainy
19.8,45.3,7.8,56.9,cloudy
5.8,90.4,24.8,88.9,rainy
17.6,47.6,10.0,68.1,cloudy
21.4,57.7,13.5,71.1,cloudy
-1.7,71.4,24.1,96.1,snowy
-9.5,72.9,22.5,79.8,snowy
-6.1,51.2,37.7,78.3,snowy
7.6,93.7,40.5,99.0,rainy
8.9,96.8,42.9,93.4,rainy
10.5,77.2,32.4,81.0,rainy
8.4,93.2,40.9,82.5,rainy
28.3,37.3,17.8,7.4,sunny
18.1,53.1,6.2,87.6,cloudy
5.0,85.6,20.7,86.1,rainy
-10.1,51.0,18.1,88.0,snowy
27.2,27.2,6.0,20.0,sunny
10.2,70.0,13.3,77.7,cloudy
12.2,97.5,20.2,90.9,rainy
-9.2,70.7,32.2,95.6,snowy
30.3,33.9,5.6,15.3,sunny
39.1,25.5,9.8,4.6,sunny
36.6,32.6,6.3,24.2,sunny
23.3,47.5,16.6,88.5,cloudy
18.8,65.9,21.5,88.5,cloudy
12.8,76.6,11.2,83.1,rainy
16.6,50.0,9.3,57.0,cloudy
18.7,61.9,9.5,60.3,cloudy
27.8,18.1,1.4,14.0,sunny
25.4,17.1,9.1,11.2,sunny
-10.1,63.7,33.9,81.8,snowy
-14.5,67.8,28.0,93.0,snowy
27.8,18.2,6.4,7.2,sunny
-14.9,75.3,22.5,99.9,snowy
21.0,92.2,18.2,99.9,rainy
24.2,15.4,7.4,8.3,sunny
27.0,65.7,9.5,94.4,cloudy
-5.4,75.6,18.5,78.9,snowy
35.5,24.9,7.7,12.7,sunny
-2.7,75.2,25.3,71.4,snowy
-12.0,58.5,35.1,89.7,snowy
14.0,47.6,23.6,91.4,cloudy
5.1,95.6,31.3,83.3,rainy
9.7,55.9,24.1,79.1,cloudy
20.2,45.7,14.5,70.1,cloudy
18.6,80.0,30.4,96.2,rainy
-11.9,52.6,23.4,93.5,snowy
25.9,40.2,3.4,4.9,sunny
33.0,32.4,17.1,3.6,sunny
14.9,95.9,28.3,97.2,rainy
23.1,15.6,12.7,17.2,sunny
-11.8,77.3,22.2,96.4,snowy
24.7,49.6,24.7,79.8,cloudy
20.7,84.8,27.0,96.9,rainy
26.3,36.3,9.1,10.8,sunny
34.7,21.7,12.2,13.6,sunny
27.3,50.9,27.5,87.1,cloudy
-1.3,56.8,32.3,76.9,snowy
9.3,62.6,18.2,91.4,cloudy
-11.8,51.0,19.9,92.0,snowy
26.2,25.1,1.1,6.8,sunny
15.7,99.9,38.4,89.4,rainy
16.9,50.8,13.4,90.7,cloudy
22.1,23.3,2.2,8.4,sunny
-13.3,50.3,21.1,92.9,snowy
-13.2,77.9,37.5,90.6,snowy
-8.8,60.4,21.4,83.5,snowy
9.6,95.9,16.7,89.9,rainy
16.9,69.2,21.6,61.4,cloudy
-8.3,58.7,22.1,87.2,snowy
32.0,35.8,11.4,2.8,sunny
27.3,18.7,10.3,23.7,sunny
33.9,26.4,7.2,13.5,sunny
9.7,88.6,37.0,96.9,rainy
22.2,67.5,11.3,81.0,cloudy
11.5,48.7,25.6,88.2,cloudy
30.2,43.0,0.7,1.0,sunny
22.6,33.5,3.9,11.9,sunny
14.4,91.0,16.6,90.6,rainy
22.8,38.7,12.9,23.0,sunny
8.2,60.3,17.4,81.3,cloudy
-13.9,50.5,11.8,93.3,snowy
-3.9,77.5,37.6,94.8,snowy
33.7,33.0,14.1,15.7,sunny
-7.2,67.5,31.7,94.7,snowy
7.2,76.1,21.0,83.8,rainy
22.8,20.0,3.7,5.6,sunny
18.6,63.8,17.5,60.9,cloudy
